trash_can,0.0,5.77327,2.30652
trash_can,0.0,5.2533,2.30652
trash_can,0.0,6.56966,17.4975
trash_can,0.0,-2.15683,15.611
trash_can,0.0,-2.59791,15.611
trash_can,0.0,-3.00421,15.611
trash_can,0.0,-3.45002,15.611
trash_can,0.0,-5.87306,-2.86903
trash_can,0.0,-5.38839,-2.86903
trash_can,0.0,2.45569,-15.5138
trash_can,0.0,2.90146,-15.5138
trash_can,0.0,3.17383,-15.5138
trash_can,0.0,3.51669,-15.5138
trash_can,0.0,6.13144,-18.6866
fire_hydrant,0.0,7.91117,8.87235
fire_hydrant,0.0,-7.9107,8.82046
fire_hydrant,0.0,-7.78991,-8.95269
fire_hydrant,0.0,7.79875,-9.57242
fire_hydrant,0.0,1.75533,2.09352
fire_extinguisher,0.0,-4.59377,15.511
fire_extinguisher,0.0,4.63377,-15.411
elevator,0.0,-2.33492,-12.2882
elevator,0.0,-2.33492,-10.2649
elevator,0.0,4.30761,14.6643
bench,0.0,-6.00482,-13.7315
bench,0.0,4.13144,-18.6866
bench,0.0,4.13144,-19.6866
bench,0.0,4.13144,-20.2866
big_bench,0.0,-3.34075,-18.3231
kitchenette_icon,0.0,4.98027,17.487
toilet_icon,0.0,2.59817,17.3922
table,0.0,-3.89375,-2.81798
table,0.0,-3.89375,2.35002
table,0.0,4.29148,-2.43186
chair,0.0,5.94046,-2.50824
chair,0.0,-5.46302,2.35002
chair,0.0,-1.94977,5.17709
chair,0.0,2.1515,5.17709
chair,0.0,2.1515,8.6034
chair,0.0,2.1515,12.0418
chair,0.0,1.91331,-2.82811
chair,0.0,-1.87277,-4.42811
chair,0.0,-1.87277,-7.25804
chair,0.0,1.91331,-7.25804
chair,0.0,1.91331,-10.2649
chair,0.0,1.91331,-12.2882