trash_can,23.2312,-6.02432,-2.80988
trash_can,23.6312,-5.51553,-2.80988
trash_can,94.0311,2.36433,-15.3559
trash_can,94.0311,2.72099,-15.3559
trash_can,94.0311,3.07766,-15.3559
trash_can,94.0311,3.43433,-15.3559
trash_can,223.531,6.59864,17.605
trash_can,269.931,5.97126,2.43181
trash_can,269.931,5.37126,2.43181
trash_can,536.231,-2.21575,15.5566
trash_can,536.231,-2.61575,15.5566
trash_can,536.231,-3.01575,15.5566
trash_can,536.231,-3.41575,15.5566
elevator,103.231,-2.32651,-12.2719
elevator,106.031,-2.32651,-10.10476
fire_hydrant,45.5312,8.12939,-9.55344
fire_hydrant,45.5312,-8.12939,-9.55344
fire_hydrant,238.531,8.10309,8.70045
fire_hydrant,486.731,-7.90467,9.91258
fire_extinguisher,359.431,5.08954,-15.3019
bench,53.6312,-5.91479,-13.7511
bench,354.131,4.25727,-18.6215
big_bench,78.3312,-3.66275,-19.2957
kitchenette_icon,214.831,5.22753,17.2965
toilet_icon,206.131,2.53346,17.6492
chair,331.531,-2.18735,-13.7308
chair,109.331,-2.18735,-7.63113
chair,123.231,-2.18735,-3.62121
chair,451.131,-5.43041,2.45071
chair,163.031,2.21328,6.20276
chair,186.731,2.21328,14.1143